[2023-06-01 19:14:40] [INFO: OSF-LOG   ] {2|ep-160 } RTTTTT|
[2023-06-01 19:14:40] [PKT : BV        ] 00 01 02 00 00 34 00 e4 44 7e 12 51 08 c4 a5 a3 cc
[2023-06-01 19:14:41] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:41] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:41] [INFO: OSF-LOG   ] {2|ep-161 } RTTTTT|
[2023-06-01 19:14:41] [PKT : BV        ] 00 01 02 00 00 34 00 e4 44 7e 12 51 08 c4 a5 a3 cc
[2023-06-01 19:14:42] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:42] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:42] [INFO: OSF-LOG   ] {2|ep-162 } RTTTTT|
[2023-06-01 19:14:42] [nid : BV        ] 53 0
[2023-06-01 19:14:42] [PKT : BV        ] 00 01 02 00 00 35 00 25 d7 21 f5 68 d3 91 96 aa ff
[2023-06-01 19:14:42] [new_id: BV        ] 1
[2023-06-01 19:14:42] [INFO: App       ] RX: 25 d7 21 f5 68 d3 91 96
[2023-06-01 19:14:43] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:43] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:43] [INFO: OSF-LOG   ] {2|ep-163 } RTTTTT|
[2023-06-01 19:14:43] [PKT : BV        ] 00 01 02 00 00 35 00 25 d7 21 f5 68 d3 91 96 aa ff
[2023-06-01 19:14:44] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:44] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:44] [INFO: OSF-LOG   ] {2|ep-164 } RTTTTT|
[2023-06-01 19:14:44] [PKT : BV        ] 00 01 02 00 00 35 00 25 d7 21 f5 68 d3 91 96 aa ff
[2023-06-01 19:14:45] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:45] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:45] [INFO: OSF-LOG   ] {2|ep-165 } RTTTTT|
[2023-06-01 19:14:45] [nid : BV        ] 54 0
[2023-06-01 19:14:45] [PKT : BV        ] 00 01 02 00 00 36 00 69 28 2b e7 87 c9 e1 11 38 f7
[2023-06-01 19:14:45] [new_id: BV        ] 1
[2023-06-01 19:14:45] [INFO: App       ] RX: 69 28 2b e7 87 c9 e1 11
[2023-06-01 19:14:46] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:46] [INFO: OSF       ] ROUND START
[2023-06-01 19:14:46] [INFO: OSF-LOG   ] {2|ep-166 } RTTTTT|
[2023-06-01 19:14:46] [PKT : BV        ] 00 01 02 00 00 36 00 69 28 2b e7 87 c9 e1 11 38 f7
[2023-06-01 19:14:47] [INFO: OSF       ] ROUND END
[2023-06-01 19:14:47] [INFO: OSF       ] ROUND START
